accession	species_acronym	published_virus_name	assignment_source	assignment_basis
AJ534983.1	CSSTBV	Cacao swollen shoot Togo B virus	Gonzalez Grande and Micheli (2024), Table 1/phylogeny	Published species designation
AJ608931.1	CSSTBV	Cacao swollen shoot Togo B virus	Gonzalez Grande and Micheli (2024), Table 1/phylogeny	Published species designation
AJ609019.1	CSSTBV	Cacao swollen shoot Togo B virus	Gonzalez Grande and Micheli (2024), Table 1/phylogeny	Published species designation
AJ609020.1	CSSTBV	Cacao swollen shoot Togo B virus	Gonzalez Grande and Micheli (2024), phylogenetic placement	Published placement of isolate N1A within CSSTBV
KX592571.1	CSSCEV	Cacao swollen shoot CE virus	Gonzalez Grande and Micheli (2024), Table 1	Published species designation
KX592572.1	CSSCEV	Cacao swollen shoot CE virus	Gonzalez Grande and Micheli (2024), Table 1	Published species designation
KX592573.1	CSSCEV	Cacao swollen shoot CE virus	Gonzalez Grande and Micheli (2024), Table 1	Published species designation
KX592574.1	CSSTBV	Cacao swollen shoot Togo B virus	Gonzalez Grande and Micheli (2024), Table 1/phylogeny	Published species designation
KX592575.1	CSSTBV	Cacao swollen shoot Togo B virus	Gonzalez Grande and Micheli (2024), Table 1/phylogeny	Published species designation
KX592576.1	CSSTBV	Cacao swollen shoot Togo B virus	Gonzalez Grande and Micheli (2024), Table 1/phylogeny	Published species designation
KX592577.1	CSSTBV	Cacao swollen shoot Togo B virus	Gonzalez Grande and Micheli (2024), Table 1/phylogeny	Published species designation
KX592578.1	CSSTBV	Cacao swollen shoot Togo B virus	Gonzalez Grande and Micheli (2024), Table 1/phylogeny	Published species designation
KX592579.1	CSSTBV	Cacao swollen shoot Togo B virus	Gonzalez Grande and Micheli (2024), Table 1/phylogeny	Published species designation
KX592580.1	CSSTBV	Cacao swollen shoot Togo B virus	Gonzalez Grande and Micheli (2024), Table 1/phylogeny	Published species designation
KX592581.1	CSSTBV	Cacao swollen shoot Togo B virus	Gonzalez Grande and Micheli (2024), Table 1/phylogeny	Published species designation
KX592582.1	CSSTBV	Cacao swollen shoot Togo B virus	Gonzalez Grande and Micheli (2024), Table 1/phylogeny	Published species designation
KX592583.1	CSSTBV	Cacao swollen shoot Togo B virus	Gonzalez Grande and Micheli (2024), Table 1/phylogeny	Published species designation
KX592584.1	CSSCEV	Cacao swollen shoot CE virus	Gonzalez Grande and Micheli (2024), Table 1	Published species designation
MF642717.1	CSSTBV	Cacao swollen shoot Togo B virus	Gonzalez Grande and Micheli (2024), Table 1/phylogeny	Published species designation
MN179342.1	CSSGTV	Cacao swollen shoot Ghana T virus	ICTV Badnavirus exemplar list	ICTV exemplar accession
MN433933.1	CSSCEV	Cacao swollen shoot CE virus	Gonzalez Grande and Micheli (2024), Table 1	Published species designation
MN433934.1	CSSCEV	Cacao swollen shoot CE virus	Gonzalez Grande and Micheli (2024), Table 1	Published species designation
MN433938.1	CSSTBV	Cacao swollen shoot Togo B virus	Gonzalez Grande and Micheli (2024), Table 1/phylogeny	Published species designation
MN433939.1	CSSTBV	Cacao swollen shoot Togo B virus	Gonzalez Grande and Micheli (2024), Table 1/phylogeny	Published species designation
MN433940.1	CSSTBV	Cacao swollen shoot Togo B virus	Gonzalez Grande and Micheli (2024), Table 1/phylogeny	Published species designation
MN433941.1	CSSTBV	Cacao swollen shoot Togo B virus	Gonzalez Grande and Micheli (2024), Table 1/phylogeny	Published species designation
MN433942.1	CSSTBV	Cacao swollen shoot Togo B virus	Gonzalez Grande and Micheli (2024), Table 1/phylogeny	Published species designation
MN433943.1	CSSTBV	Cacao swollen shoot Togo B virus	Gonzalez Grande and Micheli (2024), Table 1/phylogeny	Published species designation
MN433944.1	CSSTBV	Cacao swollen shoot Togo B virus	Gonzalez Grande and Micheli (2024), Table 1/phylogeny	Published species designation
MN433945.1	CSSTBV	Cacao swollen shoot Togo B virus	Gonzalez Grande and Micheli (2024), Table 1/phylogeny	Published species designation
MN433946.1	CSSTBV	Cacao swollen shoot Togo B virus	Gonzalez Grande and Micheli (2024), Table 1/phylogeny	Published species designation
MN433947.1	CSSTBV	Cacao swollen shoot Togo B virus	Gonzalez Grande and Micheli (2024), Table 1/phylogeny	Published species designation
MN433948.1	CSSTBV	Cacao swollen shoot Togo B virus	Gonzalez Grande and Micheli (2024), Table 1/phylogeny	Published species designation
MN433949.1	CSSTBV	Cacao swollen shoot Togo B virus	Gonzalez Grande and Micheli (2024), Table 1/phylogeny	Published species designation
MN433950.1	CSSTBV	Cacao swollen shoot Togo B virus	Gonzalez Grande and Micheli (2024), Table 1/phylogeny	Published species designation
MN433951.1	CSSTBV	Cacao swollen shoot Togo B virus	Gonzalez Grande and Micheli (2024), Table 1/phylogeny	Published species designation
